,donorID,campaignID,frequency_donor,total_donated,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,total_amount_1_month,total_freq_1_month,total_amount_2_month,total_freq_2_month,total_amount_3_month,total_freq_3_month,total_amount_4_month,total_freq_4_month,total_amount_5_month,total_freq_5_month,total_amount_6_month,total_freq_6_month,Recency_dono,total_donated_during_dv,gender,dateOfBirth,province_Brussels,province_East Flanders,province_Flemish Brabant,province_Hainaut,province_Liege,province_Limburg,province_Luxembourg,province_Missing,province_Namur,province_Walloon Brabant,province_West Flanders,region_Flanders,region_Missing,region_Wallonia,language_FR,language_NL,total_freq_till_now,total_amount_till_now,freq_out_campaign,amount_out_campaign,freq_in_campaign,amount_in_campaign,total_amount_till_last_3_years,total_freq_till_last_3_years,donated_more_than30_duringdv,Age
0,100001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1967-12-24,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,12.0,178.49,1.0,12.39,11.0,166.1,0.0,0.0,0,51
1,100002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1952-01-14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,20.0,0.0,0.0,1.0,20.0,0.0,0.0,0,67
2,100008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1937-08-30,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3.0,124.37,0.0,0.0,3.0,124.37,0.0,0.0,0,81
3,100009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1932-01-20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19.0,326.78000000000003,0.0,0.0,19.0,326.78000000000003,0.0,0.0,0,87
4,100010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1983-05-30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,40.0,0.0,0.0,1.0,40.0,0.0,0.0,0,36
5,100011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1963-02-25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,100.0,0.0,0.0,1.0,100.0,100.0,1.0,0,56
6,100012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1977-08-09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,5.0,0.0,0.0,1.0,5.0,5.0,1.0,0,41
7,100018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1992-10-20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,0,26
8,100019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1971-01-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,90.0,0.0,0.0,3.0,90.0,30.0,1.0,0,48
9,100021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1973-01-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.0,181.47,0.0,0.0,9.0,181.47,0.0,0.0,0,46
10,100022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1954-01-25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,25.0,0.0,0.0,2.0,25.0,0.0,0.0,0,65
