,donorID,campaignID,frequency_donor,total_donated,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,total_amount_1_month,total_freq_1_month,total_amount_2_month,total_freq_2_month,total_amount_3_month,total_freq_3_month,total_amount_4_month,total_freq_4_month,total_amount_5_month,total_freq_5_month,total_amount_6_month,total_freq_6_month,Recency_dono,gender,province_Brussels,province_East Flanders,province_Flemish Brabant,province_Hainaut,province_Liege,province_Limburg,province_Luxembourg,province_Missing,province_Namur,province_Walloon Brabant,province_West Flanders,region_Flanders,region_Missing,region_Wallonia,language_FR,language_NL,Unnamed: 0,total_freq_till_now,total_amount_till_now,freq_out_campaign,amount_out_campaign,freq_in_campaign,amount_in_campaign,total_amount_till_last_3_years,total_freq_till_last_3_years,Age
0,134242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,193759.0,2.0,30.0,0.0,0.0,2.0,30.0,0.0,0.0,53
1,126503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,166824.0,1.0,50.0,0.0,0.0,1.0,50.0,0.0,0.0,70
2,104392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,39829.0,1.0,50.0,0.0,0.0,1.0,50.0,0.0,0.0,45
3,105905,7244.0,2.0,155.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,155.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,52485.0,1.0,55.0,1.0,55.0,0.0,0.0,55.0,1.0,49
4,120506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,140190.0,5.0,61.89,0.0,0.0,5.0,61.89,0.0,0.0,46
5,128540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,174857.0,5.0,175.0,0.0,0.0,5.0,175.0,50.0,1.0,29
6,126159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,165315.0,6.0,199.25,0.0,0.0,6.0,199.25,0.0,0.0,73
7,141462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,210043.0,2.0,20.0,0.0,0.0,2.0,20.0,0.0,0.0,64
8,140682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,208813.0,2.0,60.0,0.0,0.0,2.0,60.0,20.0,1.0,70
9,133551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,191579.0,1.0,10.0,0.0,0.0,1.0,10.0,0.0,0.0,70
10,102019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,18266.0,7.0,183.87,0.0,0.0,7.0,183.87,0.0,0.0,40
11,105175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,46433.0,5.0,123.94999999999999,0.0,0.0,5.0,123.94999999999999,0.0,0.0,42
12,111013,,1.0,53.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,89765.0,21.0,891.7579999999999,0.0,0.0,21.0,891.7579999999999,120.0,1.0,97
13,144019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,214225.0,1.0,10.0,0.0,0.0,1.0,10.0,10.0,1.0,78
14,131199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,183822.0,2.0,10.0,0.0,0.0,2.0,10.0,10.0,2.0,51
15,142468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,212004.0,1.0,5.0,0.0,0.0,1.0,5.0,5.0,1.0,27
16,121937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,146811.0,12.0,476.78999999999996,0.0,0.0,12.0,476.78999999999996,0.0,0.0,81
17,107681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,65889.0,6.0,148.73999999999998,0.0,0.0,6.0,148.73999999999998,0.0,0.0,42
18,113805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,105982.0,2.0,49.58,0.0,0.0,2.0,49.58,0.0,0.0,64
19,112360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,97260.0,5.0,148.74,3.0,74.37,2.0,74.37,0.0,0.0,56
20,114420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,109098.0,4.0,154.28,0.0,0.0,4.0,154.28,0.0,0.0,32
21,135378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,197123.0,1.0,25.0,0.0,0.0,1.0,25.0,0.0,0.0,50
22,138381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,205277.0,1.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,32
23,133011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,189894.0,1.0,10.0,0.0,0.0,1.0,10.0,0.0,0.0,37
24,136120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,199401.0,1.0,30.0,0.0,0.0,1.0,30.0,0.0,0.0,30
25,105054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,45506.0,1.0,10.0,0.0,0.0,1.0,10.0,0.0,0.0,40
26,110537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,86772.0,9.0,293.95,0.0,0.0,9.0,293.95,0.0,0.0,51
27,143137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,213032.0,1.0,10.0,0.0,0.0,1.0,10.0,10.0,1.0,57
28,133273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,190604.0,1.0,15.0,0.0,0.0,1.0,15.0,15.0,1.0,28
29,124016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,156644.0,1.0,25.0,0.0,0.0,1.0,25.0,0.0,0.0,47
30,109613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,79644.0,19.0,515.11,1.0,30.0,18.0,485.11,0.0,0.0,57
31,125090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,160875.0,2.0,49.0,0.0,0.0,2.0,49.0,0.0,0.0,31
