,donorID,campaignID,frequency_donor,total_donated,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,total_amount_1_month,total_freq_1_month,total_amount_2_month,total_freq_2_month,total_amount_3_month,total_freq_3_month,total_amount_4_month,total_freq_4_month,total_amount_5_month,total_freq_5_month,total_amount_6_month,total_freq_6_month,Recency_dono,zipcode,province,region,gender,language,total_freq_till_now,total_amount_till_now,freq_out_campaign,amount_out_campaign,freq_in_campaign,amount_in_campaign,total_amount_till_last_3_years,total_freq_till_last_3_years,donated_more_than30_duringdv,Age
0,100001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1861.0,4.0,2.0,1.0,3.0,12.0,178.49,1.0,12.39,11.0,166.1,0.0,0.0,0,50.0
1,100002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2260.0,1.0,2.0,0.0,3.0,1.0,20.0,0.0,0.0,1.0,20.0,20.0,1.0,0,66.0
2,100004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.0,2.0,1.0,1.0,2.0,26.0,716.22,1.0,24.79,25.0,691.4300000000001,0.0,0.0,0,66.0
3,100008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1780.0,4.0,2.0,0.0,2.0,3.0,124.37,0.0,0.0,3.0,124.37,0.0,0.0,0,81.0
4,100009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.0,2.0,1.0,0.0,2.0,19.0,326.78000000000003,0.0,0.0,19.0,326.78000000000003,0.0,0.0,0,86.0
5,100010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.0,2.0,1.0,0.0,2.0,1.0,40.0,0.0,0.0,1.0,40.0,40.0,1.0,0,35.0
6,100011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090.0,2.0,1.0,0.0,3.0,1.0,100.0,0.0,0.0,1.0,100.0,100.0,1.0,0,55.0
7,100012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.0,2.0,1.0,1.0,2.0,1.0,5.0,0.0,0.0,1.0,5.0,5.0,1.0,0,41.0
8,100013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030.0,2.0,1.0,1.0,2.0,1.0,30.0,0.0,0.0,1.0,30.0,30.0,1.0,0,44.0
9,100014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,1.0,2.0,0.0,3.0,1.0,30.0,0.0,0.0,1.0,30.0,0.0,0.0,0,32.0
10,100016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030.0,2.0,1.0,0.0,2.0,1.0,32.23,0.0,0.0,1.0,32.23,0.0,0.0,0,39.0
11,100017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.0,2.0,1.0,0.0,2.0,4.0,51.800000000000004,0.0,0.0,4.0,51.800000000000004,0.0,0.0,0,61.0
12,100018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030.0,2.0,1.0,1.0,2.0,1.0,5.0,0.0,0.0,1.0,5.0,5.0,1.0,0,25.0
13,100019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030.0,2.0,1.0,0.0,2.0,3.0,90.0,0.0,0.0,3.0,90.0,60.0,2.0,0,47.0
14,100021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030.0,2.0,1.0,0.0,2.0,9.0,181.47,0.0,0.0,9.0,181.47,0.0,0.0,0,45.0
15,100022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030.0,2.0,1.0,0.0,2.0,2.0,25.0,0.0,0.0,2.0,25.0,0.0,0.0,0,64.0
