,donorID,campaignID,frequency_donor,total_donated,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,total_amount_1_month,total_freq_1_month,total_amount_2_month,total_freq_2_month,total_amount_3_month,total_freq_3_month,total_amount_4_month,total_freq_4_month,total_amount_5_month,total_freq_5_month,total_amount_6_month,total_freq_6_month,Recency_dono,Unnamed: 0_x,zipcode,province,region,gender,language,Unnamed: 0_y,total_freq_till_now,total_amount_till_now,freq_out_campaign,amount_out_campaign,freq_in_campaign,amount_in_campaign,total_amount_till_last_3_years,total_freq_till_last_3_years,Age
0,134242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34241,3580.0,7,2,0.0,3,193759.0,2.0,30.0,0.0,0.0,2.0,30.0,0.0,0.0,53
1,126503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26502,4250.0,6,4,0.0,2,166824.0,1.0,50.0,0.0,0.0,1.0,50.0,0.0,0.0,70
2,104392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4391,4820.0,6,4,1.0,2,39829.0,1.0,50.0,0.0,0.0,1.0,50.0,0.0,0.0,45
3,105905,7244.0,2.0,155.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,155.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,5904,8370.0,12,2,0.0,3,52485.0,1.0,55.0,1.0,55.0,0.0,0.0,55.0,1.0,49
4,120506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20505,8020.0,12,2,0.0,3,140190.0,5.0,61.89,0.0,0.0,5.0,61.89,0.0,0.0,46
5,128540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28539,2800.0,1,2,1.0,3,174857.0,5.0,175.0,0.0,0.0,5.0,175.0,50.0,1.0,29
6,126159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26158,1500.0,4,2,0.0,3,165315.0,6.0,199.25,0.0,0.0,6.0,199.25,0.0,0.0,73
7,141462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41461,8310.0,12,2,1.0,3,210043.0,2.0,20.0,0.0,0.0,2.0,20.0,0.0,0.0,64
8,140682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40681,8580.0,12,2,1.0,3,208813.0,2.0,60.0,0.0,0.0,2.0,60.0,20.0,1.0,70
9,133551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33550,2110.0,1,2,1.0,3,191579.0,1.0,10.0,0.0,0.0,1.0,10.0,0.0,0.0,70
10,102019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,3600.0,7,2,1.0,3,18266.0,7.0,183.87,0.0,0.0,7.0,183.87,0.0,0.0,40
11,105175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5174,3500.0,7,2,1.0,3,46433.0,5.0,123.94999999999999,0.0,0.0,5.0,123.94999999999999,0.0,0.0,42
12,111013,,1.0,53.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,11012,8310.0,12,2,1.0,3,89765.0,21.0,891.7579999999999,0.0,0.0,21.0,891.7579999999999,120.0,1.0,97
13,144019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44018,1020.0,2,1,1.0,3,214225.0,1.0,10.0,0.0,0.0,1.0,10.0,10.0,1.0,78
14,131199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31198,5001.0,10,4,0.0,2,183822.0,2.0,10.0,0.0,0.0,2.0,10.0,10.0,2.0,51
15,142468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42467,8510.0,12,2,1.0,3,212004.0,1.0,5.0,0.0,0.0,1.0,5.0,5.0,1.0,27
16,121937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21936,3020.0,4,2,1.0,3,146811.0,12.0,476.78999999999996,0.0,0.0,12.0,476.78999999999996,0.0,0.0,81
17,107681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7680,8400.0,12,2,0.0,3,65889.0,6.0,148.73999999999998,0.0,0.0,6.0,148.73999999999998,0.0,0.0,42
18,113805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13804,2180.0,1,2,1.0,3,105982.0,2.0,49.58,0.0,0.0,2.0,49.58,0.0,0.0,64
19,112360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12359,3920.0,7,2,1.0,3,97260.0,5.0,148.74,3.0,74.37,2.0,74.37,0.0,0.0,56
